1: Goal reached in 445 iterations (0.95 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.3500, 0.0500])
1: Goal reached in 420 iterations (0.90 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.3000, 0.0500])
1: Goal reached in 484 iterations (1.01 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.2500, 0.0500])
1: Goal reached in 535 iterations (1.12 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.2000, 0.0500])
1: Goal reached in 369 iterations (0.73 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 385 iterations (0.83 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 447 iterations (0.96 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 372 iterations (0.77 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 360 iterations (0.76 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 401 iterations (0.80 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 400 iterations (0.84 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 375 iterations (0.78 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 348 iterations (0.73 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 346 iterations (0.69 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 331 iterations (0.66 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 325 iterations (0.65 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 319 iterations (0.63 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 314 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 310 iterations (0.62 seconds). Obs: 24, Top obs: tensor([0.6000, 0.0000, 0.4500, 0.0500])
