1: Goal reached in 422 iterations (3.74 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 524 iterations (5.01 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 475 iterations (4.75 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 460 iterations (5.20 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 471 iterations (5.80 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 514 iterations (6.52 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 541 iterations (6.80 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 447 iterations (5.41 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 490 iterations (6.08 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 509 iterations (6.38 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 479 iterations (5.87 seconds). Obs: 12, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
