1: Goal reached in 465 iterations (5.82 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.1500, 0.0500])
1: Goal reached in 458 iterations (5.81 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.1000, 0.0500])
1: Goal reached in 487 iterations (6.03 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.0500, 0.0500])
1: Goal reached in 464 iterations (5.84 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 1.0000, 0.0500])
1: Goal reached in 468 iterations (5.88 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.9500, 0.0500])
1: Goal reached in 454 iterations (5.69 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.9000, 0.0500])
1: Goal reached in 446 iterations (5.81 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.8500, 0.0500])
1: Goal reached in 489 iterations (6.65 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.8000, 0.0500])
1: Goal reached in 489 iterations (6.16 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.7500, 0.0500])
1: Goal reached in 527 iterations (6.64 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.7000, 0.0500])
1: Goal reached in 458 iterations (5.63 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.6500, 0.0500])
1: Goal reached in 279 iterations (3.41 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.6000, 0.0500])
1: Goal reached in 550 iterations (6.75 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.5500, 0.0500])
1: Goal reached in 493 iterations (6.23 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.5000, 0.0500])
1: Goal reached in 505 iterations (6.37 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.4500, 0.0500])
1: Goal reached in 470 iterations (5.92 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.4000, 0.0500])
1: Goal reached in 443 iterations (5.47 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.3500, 0.0500])
1: Goal reached in 226 iterations (2.86 seconds). Obs: 20, Top obs: tensor([0.7000, 0.0000, 0.3000, 0.0500])
1: Goal reached in 409 iterations (5.14 seconds). Obs: 20, Top obs: tensor([0.8000, 0.0000, 1.3000, 0.0500])
